uid,title,authors,source,year,doi,times_cited,author_keywords,document_type,wos_url,search_source
WOS:000382308900006,Emotions and support needs following a distressing birth: Scoping study with pregnant multigravida women in North-West England,"Thomson, Gill; Downe, Soo",MIDWIFERY,2016,10.1016/j.midw.2016.06.010,29,Traumatic birth; Support needs; Emotions; PTSD; Multigravida; Survey,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000382308900006&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000385440900023,"Unmet care needs of the oldest old with late-life depression: A comparison of patient, caring relative and general practitioner perceptions - Results of the AgeMooDe study","Stein, Janine; Pabst, Alexander; Weyerer, Siegfried; Werle, Jochen; Maier, Wolfgang; Miebach, Lisa; Scherer, Martin; Stark, Anne; Kaduszkiewicz, Hanna; Wiese, Birgitt; Moor, Lilia; Bock, Jens-Oliver; Koenig, Hans-Helmut; Riedel-Heller, Steffi G.",JOURNAL OF AFFECTIVE DISORDERS,2016,10.1016/j.jad.2016.07.001,9,Need assessment; Depression; Level of agreement; Elderly population; Health services research,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000385440900023&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000383567500002,Palliative care needs at different phases in the illness trajectory: a survey study in patients with cancer,"Beernaert, K.; Pardon, K.; Van den Block, L.; Devroey, D.; Msc, M. De laat; Geboes, K.; Surmont, V.; Deliens, L.; Cohen, J.",EUROPEAN JOURNAL OF CANCER CARE,2016,10.1111/ecc.12522,41,cancer; care needs; care provision; palliative care; quality of life,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000383567500002&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000392738200008,Social characteristics and care needs of older persons with medically unexplained symptoms: a case-control study,"Hanssen, Denise J. C.; Voshaar, Richard C. Oude; Naarding, Paul; Rabeling-Keus, Inge M.; Hartman, Tim C. Olde; Lucassen, Peter L. B. J.",FAMILY PRACTICE,2016,10.1093/fampra/cmw067,3,Aged; aged 80 and over; loneliness; needs assessment; physician-patient relations; somatoform disorders,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000392738200008&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000397794300020,Family Caregiver Factors Associated with Unmet Needs for Care of Older Adults,"Beach, Scott R.; Schulz, Richard",JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,2017,10.1111/jgs.14547,144,caregiving; caregiver burden; disability; unmet need,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000397794300020&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000392877800007,Detection of Undiagnosed Disease in Medicare Beneficiaries After a Clinical Home Visit,"Han, Dan; Wilks, Asa; Mattke, Soeren",POPULATION HEALTH MANAGEMENT,2017,10.1089/pop.2015.0187,3,,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000392877800007&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000396610200011,Psychosocial Well-Being of Young People Who Participated in a Support Group Following the Loss of a Parent to Cancer,"Olsson, Mariann; Lundberg, Tina; Furst, Carl Johan; Ohlen, Joakim; Forinder, Ulla",JOURNAL OF SOCIAL WORK IN END-OF-LIFE & PALLIATIVE CARE,2017,10.1080/15524256.2016.1261755,9,Adolescents; bereavement; psychosocial well-being; support groups; young adults,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000396610200011&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000398053700010,Unmet Need for Help With Activities of Daily Living Disabilities and Emergency Department Admissions Among Older Medicare Recipients,"Hass, Zach; DePalma, Glen; Craig, Bruce A.; Xu, Huiping; Sands, Laura P.",GERONTOLOGIST,2017,10.1093/geront/gnv142,76,Disabilities; Medicaid/Medicare; Home and Community based care and services,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000398053700010&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000397303500009,Profile of Nursing Home Residents Admitted Directly From Home,"Holup, Amanda A.; Hyer, Kathryn; Meng, Hongdao; Volicer, Ladislav",JOURNAL OF THE AMERICAN MEDICAL DIRECTORS ASSOCIATION,2017,10.1016/j.jamda.2016.08.017,22,Nursing homes; long-term service and supports; care transitions; home and community-based services,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000397303500009&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000397248700005,Treatment preferences for depression in the elderly,"Luck-Sikorski, Claudia; Stein, Janine; Heilmann, Katharina; Maier, Wolfgang; Kaduszkiewicz, Hanna; Scherer, Martin; Weyerer, Siegfried; Werle, Jochen; Wiese, Birgitt; Moor, Lilia; Bock, Jens-Oliver; Konig, Hans-Helmut; Riedel-Heller, Steffi G.",INTERNATIONAL PSYCHOGERIATRICS,2017,10.1017/S1041610216001885,33,depression; old age; treatment; late-life; shared decision making,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000397248700005&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
