uid,title,authors,source,year,doi,times_cited,author_keywords,document_type,wos_url,search_source
WOS:001772755600001,Gender Gap in Unmet Need for Care in Later Life: The Moderating Role of Social Deprivation,"Szenkurok, Viktoria; Weber, Daniela",HEALTH & SOCIAL CARE IN THE COMMUNITY,2026,10.1155/hsc/3358797,0,activities of daily living; care poverty; gender roles; long-term care; social deprivation index,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001772755600001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001777195200001,Horizontal inequity in long-term care access under universal coverage in Japan (2001-2022),"Ping, Ruru; Hu, Bo; Oshio, Takashi",HEALTH POLICY,2026,10.1016/j.healthpol.2026.105653,0,Horizontal inequity; Long-term care utilisation; Long-term care insurance; Universal coverage; Japan,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001777195200001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001781029700001,The Future Availability of Family Caregivers: Implications for Late-Life Care Gaps,"Freedman, Vicki A.; Margolis, Rachel; Verdery, Ashton M.; Agree, Emily M.; Friedman, Esther M.",POPULATION RESEARCH AND POLICY REVIEW,2026,10.1007/s11113-026-10016-4,0,Population aging; Caregiving; Family demography; Projections; Long-term care,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001781029700001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001785543600001,Exploring the palliative care needs of patients with heart failure: A qualitative study,"Shushtari, Sima Sadat Ghaemizade; Gheibizadeh, Mahin; Rassouli, Maryam; Rokhafroz, Dariush; Jahani, Simin; Torfi, Ekhlas",INTERNATIONAL JOURNAL OF PALLIATIVE NURSING,2026,10.12968/ijpn.2025.0013,0,caregiver burden; end-of-life care; heart failure; palliative care,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001785543600001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001788473800001,Unmet needs and fall risk among older adults: evidence from Europe using SHARE data,"Kingsada, Aimee; McHugh, John P.; Rapp, Thomas; Sicsic, Jonathan",EUROPEAN JOURNAL OF PUBLIC HEALTH,2026,10.1093/eurpub/ckag088,0,,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001788473800001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001791797900001,Caregivers' perceptions of health-related aspects in Fragile X syndrome in Poland - a survey study,"Polat, Kornelia; Ambrozy, Cecylia; Milska-Musa, Katarzyna; Kulisiak-Kazmierczak, Joanna; Zemajtys, Agata; Wierzba, Jolanta; Irga-Jaworska, Ninela; Sledzinska, Karolina",INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES,2026,10.1080/20473869.2026.2680273,0,Fragile X syndrome; health-related quality of life (HRQoL); multidisciplinary care; caregiver perspective; caregiver satisfaction; healthcare access,Article; Early Access,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001791797900001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001791397500001,Aging in institutions in East Asia: Care poverty pathways among older adults with intellectual disabilities,"Chou, Yueh-Ching; Chen, Bo-Wei; Kroger, Teppo",HEALTH & PLACE,2026,10.1016/j.healthplace.2026.103688,0,Intellectual disabilities; Deinstitutionalization; Institutional care; Care poverty; Welfare landscapes; Gender pathway,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001791397500001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001793607400001,Bus transit to wellbeing: active aging pathways in China's most aged megacity,"Liu, Wanting; Yu, Jie; Zhao, Jing; Liu, Xiaofei",TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,2026,10.1016/j.trd.2026.105449,1,Older adults; Service quality; Perceived health; Life satisfaction; Mixed-methods,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001793607400001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001793563700001,When stigma hits home: A mixed methods study of affiliate stigma among epilepsy care partners,"Prieto, Sarah; Larracey, Emma T.; Hernandez-Vallant, Alexandra; Rahilly, Madeline; Goldstein, Allyson; Kaden, Wren; Tremont, Geoffrey; Kiriakopoulos, Elaine T.; Davis, Jennifer; Margolis, Seth A.",EPILEPSY & BEHAVIOR,2026,10.1016/j.yebeh.2026.111148,0,Affiliate stigma; Caregiver burden; Family functioning; Mixed-methods; Coping strategies; Qualitative research,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001793563700001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001794705700001,The dual burden of a rare cancer: psychosocial impact of disease symptoms and unmet care needs in cutaneous T-cell lymphoma,"Wacker, Alina; Stucke, Jana; Stadler, Rudolf; Steinke, Sabine",FRONTIERS IN PSYCHOLOGY,2026,10.3389/fpsyg.2026.1786000,0,cutaneous T-cell lymphoma; health-related quality of life; patient experiences; psychosocial burden; qualitative research; rare diseases; unmet care needs,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001794705700001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001798914500002,Concurrent mental health and substance use disorders among Canadian adults during the COVID-19 pandemic: a population-based study,"Feng, Cindy; Asbridge, Mark",HEALTH PROMOTION AND CHRONIC DISEASE PREVENTION IN CANADA-RESEARCH POLICY AND PRACTICE,2026,10.24095/hpcdp.46.6.02,0,concurrent disorders; mental health disorders; substance use disorders; COVID-19 pandemic,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001798914500002&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001798547700001,"""The absolute dearth of resources"": Challenges and unmet support needs for emerging adult siblings of individuals with neurodevelopmental conditions in regional and remote Australia","Antonio, Samuel; Jamieson, Kate; Dorozenko, Kate P.; Glasson, Emma J.; Maxwell-Smith, Chloe",RESEARCH IN DEVELOPMENTAL DISABILITIES,2026,10.1016/j.ridd.2026.105331,0,Neurodevelopmental disorder; Rural Australia; Sibling wellbeing; Unmet needs; Mental health,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001798547700001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001800877300001,"Developmental literacy and epistemic dignity as primary child protection: a developmentally staged, disability-inclusive public-health framework for preventing adverse childhood experiences","Niederlohmann, Eik",FRONTIERS IN PUBLIC HEALTH,2026,10.3389/fpubh.2026.1862974,0,adverse childhood experiences; developmental literacy; epistemic dignity; health-promoting schools; implementation science; neurodiversity; nurturing care; primary child protection,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001800877300001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001800662000001,Factors associated with life satisfaction of Korean older adults with disabilities living alone: a cross-sectional study using the ICF framework,"Han, Song Yi; Ko, Young; Jang, Hye-Young",FRONTIERS IN PUBLIC HEALTH,2026,10.3389/fpubh.2026.1812101,0,environmental factor; ICF model; life satisfaction; living alone; older adults with disabilities,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001800662000001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
WOS:001810106700001,A dynamic approach to unmet needs in long-term care for older people across Europe,"Rodrigues, Ricardo; Kontrus, Victoria; Steinlechner, Rebekka; Hopf, Stefan; Marques, Susana R.",INNOVATION IN AGING,2026,10.1093/geroni/igag042,0,Trajectories; Inequalities; Latent profile analysis; Longitudinal data,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:001810106700001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_unmet_care_supplement
